ID,Poverty_Code,CRM_Segment,Company_Type,Direction_Meeting,Low_Seniority,High_Seniority,Employees,Income_Level,New_Client,Number_Meetings,First_Meeting,Last_Meeting,Travel_First_Meeting,Travel_Last_Meeting,Size_Indicator
LISTED-2,0,6,LISTED,1,1,8,420,I,NEW,1,09/07/10,09/07/10,247,247,S-M
LISTED-9,0,11,LISTED,0,2,8,180,F,NEW,0,NA,NA,NA,NA,S
LISTED-14,0,6,LISTED,1,2,8,310,P,EXISTING,1,09/09/10,09/09/10,242,242,S
LISTED-30,0,6,LISTED,1,2,8,320,Q,EXISTING,1,09/16/10,09/16/10,252,252,S
LISTED-38,0,11,LISTED,0,4,8,300,Q,EXISTING,0,NA,NA,NA,NA,S
LISTED-41,0,6,LISTED,1,1,8,575,F,NEW,2,04/27/10,09/13/10,386,247,S-M
LISTED-42,0,8,LISTED,1,0,NA,111,I,EXISTING,1,09/13/10,09/13/10,252,252,S
LISTED-49,0,6,LISTED,1,2,12,1000,P,NEW,1,08/26/10,08/26/10,246,246,L
LISTED-53,0,8,LISTED,1,2,12,1020,L,EXISTING,1,02/16/11,02/16/11,28,28,L
LISTED-55,0,6,LISTED,0,2,8,652,O,NEW,0,NA,NA,NA,NA,M-L
LISTED-75,0,8,LISTED,1,0,NA,106,Q,EXISTING,2,09/23/10,10/06/10,248,235,S
LISTED-76,0,8,LISTED,0,1,12,360,Q,EXISTING,0,NA,NA,NA,NA,S-M
LISTED-79,0,5,LISTED,1,1,6,280,Q,NEW,1,09/28/10,09/28/10,235,235,S
LISTED-81,0,12,LISTED,1,2,8,105,P,EXISTING,1,09/28/10,09/28/10,192,192,S
LISTED-84,0,11,LISTED,1,1,12,532,L,EXISTING,1,10/04/10,10/04/10,211,211,S-M
LISTED-89,0,8,LISTED,0,2,12,1100,F,NEW,0,NA,NA,NA,NA,L
LISTED-140,0,5,LISTED,0,2,5,150,Q,NEW,0,NA,NA,NA,NA,S
LISTED-144,0,6,LISTED,1,2,12,700,B,EXISTING,1,09/15/10,09/15/10,181,181,M-L
