ID,Deposit_Date,Special_Pay,Price,Refund_Option,Refund_Option_Cancelled,Refund_Percentage,Automatic_Pay_Rate,Revenue
3124-40201,01/23/10,SA,366,0,0,0,0,385
4124-40201,01/23/10,SA,385,0,0,0,0,385
877-40289,04/21/10,SA,1704,0,0,0,0,1704
2638-40289,04/21/10,SA,1789,0,0,0,0,1704
326-40330,06/01/10,SA,655,0,0,0,0,689
364-40330,06/01/10,SA,2411,0,0,0,0,2296
604-40330,06/01/10,SA,797,0,0,0,0,797
685-40330,06/01/10,SA,2501,0,0,0,0,2382
704-40330,06/01/10,SA,883,0,0,0,0,930
751-40330,06/01/10,SA,1137,0,0,0,0,1083
885-40330,06/01/10,SA,1137,0,0,0,0,1083
950-40330,06/01/10,SA,883,0,0,0,0,930
1147-40330,06/01/10,SA,619,0,0,0,0,619
1202-40330,06/01/10,SA,2411,0,0,0,0,2296
1324-40330,06/01/10,SA,949,0,0,0,0,999
1711-40330,06/01/10,SA,989,0,0,0,0,942
1894-40330,06/01/10,SA,588,0,0,0,0,619
2057-40330,06/01/10,SA,1270,0,0,0,0,1270
2172-40330,06/01/10,SA,1259,0,0,0,0,1259
2256-40330,06/01/10,SA,999,0,0,0,0,999
2276-40330,06/01/10,SA,2101,0,0,0,0,2101
2277-40330,06/01/10,SA,1322,0,0,0,0,1259
2659-40330,06/01/10,SA,769,0,0,0,0,769
2760-40330,06/01/10,SA,730,0,0,0,0,695
2802-40330,06/01/10,SA,1736,0,0,0,0,1827
3377-40330,06/01/10,SA,660,0,0,0,0,695
3414-40330,06/01/10,SA,655,0,0,0,0,689
3559-40330,06/01/10,SA,2101,0,0,0,0,2101
3707-40330,06/01/10,SA,989,0,0,0,0,942
3935-40330,06/01/10,SA,797,0,0,0,0,797
3964-40330,06/01/10,SA,1736,0,0,0,0,1827
805-40337,06/08/10,SA,664,0,0,0,0,699
861-40337,06/08/10,SA,1941,0,0,0,0,1849
2587-40337,06/08/10,SA,1849,0,0,0,0,1849
3945-40337,06/08/10,SA,734,0,0,0,0,699
11-40344,06/15/10,SA,456,0,0,0,0,480
49-40344,06/15/10,SA,408,0,0,0,0,429
2483-40344,06/15/10,SA,450,0,0,0,0,429
3608-40344,06/15/10,SA,504,0,0,0,0,480
3643-40344,06/15/10,SA,531,0,0,0,0,559
2664-40374,07/15/10,SA,681,0,0,0,0,717
3788-40374,07/15/10,SA,717,0,0,0,0,717
1820-40410,08/20/10,SA,379,0,0,0,0,399
3958-40410,08/20/10,SA,419,0,0,0,0,399
622-40451,09/30/10,SA,526,0,0,0,0,554
892-40451,09/30/10,SA,1675,0,0,0,0,1763
1455-40451,09/30/10,NA,2973,0,0,0,0.2,3129
2439-40451,09/30/10,NA,3285,0,0,0,0.2,3129
3383-40451,09/30/10,SA,526,0,0,0,0,554
3605-40451,09/30/10,SA,1567,0,0,0,0,1649
3751-40451,09/30/10,SA,1851,0,0,0,0,1763
93-40452,10/01/10,SA,1165,0,0,0,0,1165
675-40452,10/01/10,SA,1767,0,0,0,0,1767
682-40452,10/01/10,SA,1643,0,0,0,0,1643
712-40452,10/01/10,SA,1575,0,0,0,0,1575
1491-40452,10/01/10,SA,2498,0,0,0,0,2630
1692-40452,10/01/10,SA,1575,0,0,0,0,1575
2004-40452,10/01/10,SA,551,0,0,0,0,551
2353-40452,10/01/10,SA,2042,0,0,0,0,2150
2463-40452,10/01/10,SA,1855,0,0,0,0,1767
3236-40452,10/01/10,SA,2630,0,0,0,0,2630
3587-40452,10/01/10,SA,551,0,0,0,0,551
3777-40452,10/01/10,SA,2042,0,0,0,0,2150
58-40459,10/08/10,SA,1252,0,0,0,0,1318
774-40459,10/08/10,SA,1252,0,0,0,0,1318
1826-40463,10/12/10,SA,1425,0,0,0,0,1425
2315-40463,10/12/10,SA,1354,0,0,0,0,1425
2-40466,10/15/10,SA,408,0,0,0,0,429
30-40466,10/15/10,SA,376,0,0,0,0,396
268-40466,10/15/10,SA,1407,0,0,0,0,1407
524-40466,10/15/10,SA,149,0,0,0,0,149
584-40466,10/15/10,SA,2096,0,0,0,0,2096
674-40466,10/15/10,SA,2074,0,0,0,0,1975
686-40466,10/15/10,SA,443,0,0,0,0,443
933-40466,10/15/10,SA,465,0,0,0,0,443
1254-40466,10/15/10,SA,1830,0,0,0,0,1926
1454-40466,10/15/10,SA,412,0,0,0,0,392
2009-40466,10/15/10,SA,415,0,0,0,0,415
2525-40466,10/15/10,SA,2199,0,0,0,0,2199
2660-40466,10/15/10,SA,394,0,0,0,0,415
2762-40466,10/15/10,SA,2199,0,0,0,0,2199
2765-40466,10/15/10,SA,1876,0,0,0,0,1975
2781-40466,10/15/10,SA,408,0,0,0,0,429
3202-40466,10/15/10,SA,142,0,0,0,0,149
3839-40466,10/15/10,SA,416,0,0,0,0,396
3932-40466,10/15/10,SA,412,0,0,0,0,392
4022-40466,10/15/10,SA,848,0,0,0,0,808
4150-40466,10/15/10,SA,2920,0,0,0,0,3074
4179-40466,10/15/10,SA,1337,0,0,0,0,1407
237-40470,10/19/10,SA,837,0,0,0,0,837
3669-40470,10/19/10,SA,879,0,0,0,0,837
516-40471,10/20/10,SA,156,0,0,0,0,156
1301-40471,10/20/10,SA,156,0,0,0,0,156
840-40473,10/22/10,SA,1887,0,0,0,0,1887
1046-40473,10/22/10,NA,1150,0,0,0,0,1095
1876-40473,10/22/10,NA,1150,0,0,0,0,1095
2380-40473,10/22/10,NA,4078,0,0,0,0.333,3884
3052-40473,10/22/10,NA,3690,0,0,0,0.333,3884
1070-40480,10/29/10,SA,1864,0,0,0,0,1775
2224-40480,10/29/10,SA,2184,0,0,0,0,2184
2593-40480,10/29/10,SA,1686,0,0,0,0,1775
4108-40480,10/29/10,SA,2075,0,0,0,0,2184
38-40481,10/30/10,SA,782,0,0,0,0,782
479-40481,10/30/10,SA,580,0,0,0,0,552
