ID,Program_Code,Min_Seniority,Max_Seniority,Origin_State,Days,Travel_Type,Departure_Date,Return_Date,Participant,Total_Participants,First_Communicarion,Last_Communicarion,Cancelled,Discounted,Initial_Date,Region,Company_Sponsor,Product_Type,Type_Low_Seniority,Type_High_Seniority,Type_Seniority,Departure_Month,Type_Low,Type_High,Type,Code_Aggregation,Same_Type_Flag,Enrollment,Participant_Ratio,Participant_Difference,Retained
HG-449-40686,HG,4,5,CA,2,A,05/23/11,05/24/11,29,31,04/23/09,09/30/10,2,2,04/02/09,Southern California,1,CA History,<5,<5,,May,Undefined,Undefined,Undefined-Undefined,H,1,NA,0.935483871,2,0
HG-2589-40686,HG,4,5,CA,2,A,05/23/11,05/24/11,29,31,04/19/09,09/26/10,3,3,04/02/09,Southern California,1,CA History,<5,<5,,May,Undefined,Undefined,Undefined-Undefined,H,1,NA,0.935483871,2,0
HC-145-40705,HC,6,7,IN,5,A,06/11/11,06/15/11,16,19,04/21/09,08/24/09,39,4,04/17/09,Other,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.0375,0.833333333,3,0
HC-3525-40705,HC,7,8,IN,5,A,06/11/11,06/15/11,16,19,04/14/09,08/17/09,30,2,04/17/09,Other,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.0375,0.833333333,3,0
HC-2222-40691,HC,12,13,NE,5,A,05/28/11,06/01/11,35,40,04/26/09,08/22/10,7,4,04/30/09,Other,0,East Coast,>8,>8,,May,2,2,2-2,H,1,0.119863014,0.875,5,0
HD-958-40648,HD,9,9,MT,5,A,04/15/11,04/19/11,14,15,05/02/09,10/08/09,5,2,05/06/09,Other,0,East Coast,5-8,5-8,,April,5-8,5-8,5-8-5-8,H,1,NA,0.9375,1,1
HD-671-40620,HD,8,8,CA,5,A,03/18/11,03/22/11,36,38,05/29/09,08/26/09,6,1,05/28/09,Northern California,0,East Coast,5-8,5-8,,March,1,1,1-1,H,1,0.179104478,0.947368421,2,0
HD-368-40659,HD,10,12,MN,4,A,04/26/11,04/29/11,47,52,06/12/09,06/12/09,4,5,06/15/09,Other,0,East Coast,>8,>8,,April,2,2,2-2,H,1,0.083928571,0.903846154,5,0
HD-1857-40659,HD,9,11,MN,4,A,04/26/11,04/29/11,49,54,06/17/09,06/17/09,6,6,06/15/09,Other,0,East Coast,>8,>8,>8->8,April,2,2,2-2,H,1,0.083928571,0.903846154,5,0
HN-2912-40705,HN,4,7,TX,5,A,06/11/11,06/15/11,11,12,,08/22/09,1,2,08/24/09,Dallas,0,East Coast,<5,5-8,,June,2,5-8,2-5-8,H,0,0.019834711,0.923076923,1,0
HC-2986-40602,HC,6,7,AL,5,A,02/28/11,03/04/11,47,50,05/02/10,05/02/10,7,4,08/31/09,Other,0,East Coast,<5,5-8,,March,1,<5,1-<5,H,0,0.125,0.943396226,3,0
HC-3524-40602,HC,4,5,AL,5,A,02/28/11,03/04/11,53,56,05/04/10,05/04/10,8,3,08/31/09,Other,0,East Coast,<5,5-8,,March,1,<5,1-<5,H,0,0.125,0.943396226,3,0
CD-2163-40640,CD,6,7,CA,7,A,04/07/11,04/13/11,31,33,09/04/10,09/04/10,3,2,09/03/09,Southern California,1,East Coast,5-8,5-8,,April,1,5-8,1-5-8,C,0,0.140909091,0.939393939,2,0
CD-2573-40640,CD,7,8,CA,7,A,04/07/11,04/13/11,33,35,09/03/10,09/03/10,2,1,09/03/09,Southern California,1,East Coast,5-8,5-8,,April,1,1,1-1,C,1,0.140909091,0.939393939,2,0
HC-2890-40654,HC,8,9,CA,6,A,04/21/11,04/26/11,32,36,,09/14/09,11,5,09/08/09,Northern California,0,East Coast,5-8,5-8,,April,5-8,5-8,5-8-5-8,H,1,0.048309179,0.882352941,4,0
